No	TMNo	EnNo	Name	INOUT	Mode	DateTime
2	1	2		0	1	2020/01/21 14:51:28
3	1	3		0	1	2020/01/21 14:52:33
4	1	1		0	1	2020/01/21 14:59:51
5	1	12		0	1	2020/01/21 16:01:01
6	1	12		0	1	2020/01/21 16:01:03
7	1	12		0	1	2020/01/21 16:01:06
8	1	8		0	1	2020/01/21 16:01:12
9	1	8		0	1	2020/01/21 16:01:15
10	1	9		0	1	2020/01/21 16:01:21
11	1	9		0	1	2020/01/21 16:01:25
12	1	1		0	1	2020/01/21 16:01:28
13	1	1		0	1	2020/01/21 16:01:32
14	1	7		0	1	2020/01/21 16:01:40
15	1	7		0	1	2020/01/21 16:01:44
16	1	10		0	1	2020/01/21 16:01:47
17	1	10		0	1	2020/01/21 16:01:49
18	1	13		0	1	2020/01/21 16:02:02
19	1	13		0	1	2020/01/21 16:02:05
20	1	13		0	1	2020/01/21 16:02:09
21	1	5		0	1	2020/01/21 16:03:16
22	1	5		0	1	2020/01/21 16:03:18
23	1	6		0	1	2020/01/21 16:03:23
24	1	6		0	1	2020/01/21 16:03:27
25	1	14		0	1	2020/01/21 16:03:34
26	1	11		0	1	2020/01/21 16:03:38
27	1	11		0	1	2020/01/21 16:03:42
28	1	3		0	1	2020/01/21 16:03:47
29	1	3		0	1	2020/01/21 16:03:55
30	1	4		0	1	2020/01/21 16:04:05
31	1	4		0	1	2020/01/21 16:04:07
32	1	2		0	1	2020/01/21 16:04:52
33	1	2		0	1	2020/01/21 16:04:57
34	1	2		0	1	2020/01/22 05:46:07
35	1	2		0	1	2020/01/22 05:46:12
36	1	7		0	1	2020/01/22 06:44:44
37	1	8		0	1	2020/01/22 06:44:48
38	1	8		0	1	2020/01/22 06:44:50
39	1	10		0	1	2020/01/22 06:44:54
40	1	10		0	1	2020/01/22 06:44:58
41	1	9		0	1	2020/01/22 06:45:32
42	1	9		0	1	2020/01/22 06:45:37
43	1	1		0	1	2020/01/22 06:45:43
44	1	1		0	1	2020/01/22 06:45:45
45	1	11		0	1	2020/01/22 06:48:08
46	1	11		0	1	2020/01/22 06:48:08
47	1	12		0	1	2020/01/22 06:48:50
48	1	12		0	1	2020/01/22 06:48:53
49	1	14		0	1	2020/01/22 06:55:43
50	1	4		0	1	2020/01/22 07:01:38
51	1	13		0	1	2020/01/22 07:01:50
52	1	12		0	1	2020/01/22 11:30:02
53	1	12		0	1	2020/01/22 11:30:07
54	1	11		0	1	2020/01/22 11:30:11
55	1	11		0	1	2020/01/22 11:30:11
56	1	8		0	1	2020/01/22 11:30:17
57	1	8		0	1	2020/01/22 11:30:19
58	1	1		0	1	2020/01/22 11:30:23
59	1	4		0	1	2020/01/22 11:30:27
60	1	7		0	1	2020/01/22 11:30:34
61	1	10		0	1	2020/01/22 11:30:37
62	1	10		0	1	2020/01/22 11:30:41
63	1	14		0	1	2020/01/22 11:30:44
64	1	9		0	1	2020/01/22 11:30:52
65	1	9		0	1	2020/01/22 11:30:55
66	1	13		0	1	2020/01/22 11:31:15
67	1	12		0	1	2020/01/22 11:43:29
68	1	12		0	1	2020/01/22 11:43:31
69	1	13		0	1	2020/01/22 11:52:02
70	1	4		0	1	2020/01/22 11:58:03
71	1	9		0	1	2020/01/22 11:59:50
72	1	9		0	1	2020/01/22 11:59:54
73	1	7		0	1	2020/01/22 12:01:06
74	1	10		0	1	2020/01/22 12:01:12
75	1	10		0	1	2020/01/22 12:01:12
76	1	1		0	1	2020/01/22 12:24:40
77	1	11		0	1	2020/01/22 12:26:08
78	1	11		0	1	2020/01/22 12:26:10
79	1	14		0	1	2020/01/22 12:31:10
80	1	14		0	1	2020/01/22 16:01:02
81	1	13		0	1	2020/01/22 16:01:21
82	1	7		0	1	2020/01/22 16:01:33
83	1	11		0	1	2020/01/22 16:01:36
84	1	1		0	1	2020/01/22 16:01:42
85	1	1		0	1	2020/01/22 16:01:44
86	1	11		0	1	2020/01/22 16:01:49
87	1	12		0	1	2020/01/22 16:02:11
88	1	12		0	1	2020/01/22 16:02:13
89	1	10		0	1	2020/01/22 16:02:40
90	1	10		0	1	2020/01/22 16:02:42
91	1	9		0	1	2020/01/22 16:02:55
92	1	9		0	1	2020/01/22 16:02:57
93	1	4		0	1	2020/01/22 16:03:06
94	1	4		0	1	2020/01/22 16:03:09
95	1	2		0	1	2020/01/23 06:16:26
96	1	2		0	1	2020/01/23 06:16:38
97	1	8		0	1	2020/01/23 06:39:24
98	1	8		0	1	2020/01/23 06:39:27
99	1	8		0	1	2020/01/23 06:39:30
